date_q,ticker,price,assetTurnover,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShare,grossMargin,inventoryTurnover,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatio,pb,pe,pfcf,pretaxMargin,ps,ptbv,quickRatio,receivablesTurnover,roa,roe,roic,rotc,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio,finnhubIndustry,roa_sector_ratio,roe_sector_ratio,roic_sector_ratio,rotc_sector_ratio,ev_sector_ratio,ebitPerShare_sector_ratio,sentiment_avg_q,sentiment_sd_q,sentiment_num_q
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
2021-12-31,AFGD,22.125210515914425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AFGE,20.06631817356233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AFRAF,4.522096803111415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AGAE,1.789758059286302,0.0552,,17.865384615384617,18.1346,-0.0961,-0.1319,,,-0.2621,0.4381,,,,,-0.9422,-0.9422,-2.6598,-1.9381,,,,,-1.933,,,17.9423,14.1429,0.701,0.9575,0.9271,-0.2338,0.0496,0.5619,,0.0,0.0,0.0,14.6944,"Hotels, Restaurants & Leisure",-3.6831989823431,-5.014092750319589,-4.684225126066238,1.2872920422770897,,0.028493910846696,,,
2021-12-31,AGFY,19592.90322580645,0.3594,,0.2752293577981651,1.9885,-120.9091,-120.5455,184.993,,-324.7,0.2227,4.2514,0.0,0.0059,,-0.323,-0.375,-0.5245,-0.5261,,,,,-0.5241,3.2686,,1.4908,10.6911,-0.1949,,,,229.8182,0.7773,,0.0,0.0071,0.0074,4.0444,Machinery,0.5913175389283006,,,,0.0341906916690723,54.64989082665777,,,
2021-12-31,AGIO,30.554999966775217,0.1422,1291.9,3.3963210702341136,17.796,-1.8825,-1.7434,1582.62,,-7.6059,0.985,,,,,-0.1567,-0.1567,-4.0803,-4.1914,,1.3818,,,-4.0803,16.9238,,17.1304,28.5269,0.8742,0.9573,0.9569,-0.2217,0.4425,0.015,,0.0005,0.0004,0.0005,9.8608,Biotechnology,-0.2798522878049507,-1.3975555620631088,-1.53494119567609,0.3417890417475212,0.6878621292116809,0.0296308396581462,,,
2021-12-31,AGM-A,105.56359518727947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AGMH,1.8394032216841176,0.6377,25.0,0.2929936305732484,1.3901,0.2318,0.1773,34.4551,,-0.083,0.1879,,,,,-0.6292,-0.6693,0.1242,0.1624,,2.0502,,,0.1624,1.3966,2.0502,0.336,,0.0892,0.3429,0.2992,0.4155,1.4273,0.8121,25.0,0.0637,0.0182,0.0599,1.3968,Financial Services,-1.9683039300925569,2.3706397408819555,-7.70478716555507,-7.072968839878222,6.218886623092936e-05,0.0042666337236506,,,
2021-12-31,AGNCM,19.37423622992731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AGNCN,18.642237755560107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AGQPF,15.714462511001097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AGRI,10769.59677419355,,8.0,3.3973799126637556,3.5459,-11.0714,-9.75,23.5903,,-17.9667,,,0.0042,0.0062,0.0063,-0.9602,-0.9663,,,,3.915,,,,,,3.441,,-0.808,-1.3776,-1.3649,-1.4327,,,,0.0063,0.0042,0.0062,3.122,Food Products,14.761719661043305,-52.02371229087077,14.136716727084412,18.515899254628515,0.0003665077738774,-1.7658356282926566,,,
2021-12-31,AGRO,8.355845712846325,0.435,1011.7,0.4272523782876329,2.1315,0.3792,0.5231,1777.262,0.1825,1.2214,0.1815,2.4439,0.2732,0.3398,0.6973,0.4392,0.9013,0.1776,0.1288,,0.8555,6.6217,3.859,0.1019,0.7787,0.8681,0.9432,19.2784,0.0512,0.1361,0.0625,0.1315,2.9449,0.8188,997.0,1.0522,0.4122,0.5127,1.6441,Food Products,-0.935396097333437,5.139682957888728,-0.647332988089073,-1.6994770377494588,0.0276122109179154,0.060480595972377,,,
2021-12-31,AGXPF,0.224318224816553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AHG,1.5885483910960536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AHH,11.779874601671771,0.1461,555.4,0.2125603864734299,0.9867,0.094,0.0519,2178.65,0.4218,-0.7381,0.4721,13.1046,0.457,0.583,1.5947,0.6112,1.6718,0.0458,0.083,1.552,2.2509,47.7843,,0.0429,4.4004,2.5337,0.4988,9.8135,0.0113,0.0406,0.0142,0.0239,1.1329,0.5279,493.4,1.7351,0.4972,0.6344,1.4017,Real Estate,-2.456521739130434,1.2433211791902004,2.549531926784966,3.195286895905946,0.2387059205452072,0.1698821309735602,,,
2021-12-31,AHT-PD,16.835415532512048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AHT-PF,15.763747707489998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AI,24.080967687791393,0.179,1026.5,1.266263237518911,7.6861,-0.5367,-0.5469,4482.09,,-0.7332,0.7259,,,,,-0.1631,-0.1631,-0.9739,-0.9557,,4.5295,,,-0.9737,21.9254,,7.5461,7.0219,-0.1141,-0.1285,-0.1285,-0.128,0.5615,0.2741,,0.0,0.0,0.0,8.4169,Technology,0.058381272462784,0.1896437047652501,0.2270637507156084,0.2418583972435256,0.0779178685432839,0.8943593032119259,,,
