,buy,hold,period,sell,strongBuy,strongSell,symbol
0,4,4,2025-01-01,0,3,0,GOOD
0,4,4,2024-12-01,0,3,0,GOOD
0,4,4,2024-11-01,0,3,0,GOOD
0,5,7,2025-02-01,0,5,0,MD
0,5,7,2025-01-01,0,5,0,MD
0,4,7,2024-12-01,0,5,0,MD
0,4,7,2024-11-01,0,5,0,MD
0,9,3,2025-02-01,0,6,0,CLH
0,9,3,2025-01-01,0,6,0,CLH
0,8,3,2024-12-01,0,6,0,CLH
0,7,3,2024-11-01,0,7,0,CLH
0,4,1,2021-12-01,0,2,0,VATE
0,4,1,2021-11-01,0,2,0,VATE
0,4,1,2021-10-01,0,2,0,VATE
0,4,1,2021-09-01,0,2,0,VATE
0,2,9,2025-02-01,0,2,0,THS
0,2,9,2025-01-01,0,2,0,THS
0,2,9,2024-12-01,0,2,0,THS
0,3,8,2024-11-01,0,2,0,THS
0,9,8,2025-02-01,0,4,0,LBTYA
0,10,7,2025-01-01,0,5,0,LBTYA
0,10,7,2024-12-01,0,5,0,LBTYA
0,11,6,2024-11-01,0,5,0,LBTYA
0,8,3,2025-02-01,0,2,0,VIR
0,7,4,2025-01-01,0,2,0,VIR
0,7,4,2024-12-01,0,2,0,VIR
0,7,4,2024-11-01,0,2,0,VIR
0,5,1,2025-02-01,0,2,0,ITRM
0,5,1,2025-01-01,0,2,0,ITRM
0,5,1,2024-12-01,0,2,0,ITRM
